epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7478.48,1.73093,1.15188,1.49155,0.76254,0.59709,0.69127,0.37206,1.53181,1.06034,1.45758,0.000660045,0.000660045,0.000660045
43,7579.51,1.70396,1.14359,1.4957,0.77648,0.62694,0.70756,0.37057,1.57471,1.03661,1.49805,0.000649046,0.000649046,0.000649046
44,7679.58,1.67932,1.12145,1.48348,0.75986,0.60244,0.67295,0.36838,1.54595,1.08312,1.46291,0.000638047,0.000638047,0.000638047
45,7780.22,1.65294,1.09012,1.45518,0.75137,0.66033,0.70347,0.37933,1.55366,1.02493,1.47667,0.000627048,0.000627048,0.000627048
46,7881.07,1.69515,1.08222,1.46757,0.75187,0.612,0.68406,0.35956,1.60813,1.06822,1.49797,0.000616049,0.000616049,0.000616049
47,7981.29,1.68246,1.10599,1.46546,0.71333,0.66947,0.71383,0.38286,1.54194,1.01721,1.43532,0.000605051,0.000605051,0.000605051
48,8085.98,1.67263,1.08485,1.44524,0.72348,0.62825,0.7061,0.38231,1.5657,1.02345,1.48774,0.000594052,0.000594052,0.000594052
49,8200.76,1.6473,1.06242,1.45306,0.76526,0.64987,0.69565,0.378,1.55281,1.03043,1.45118,0.000583053,0.000583053,0.000583053
50,8315.64,1.63638,1.0713,1.44218,0.81821,0.65482,0.72702,0.38954,1.53552,0.96503,1.44609,0.000572054,0.000572054,0.000572054
51,8431.75,1.64148,1.05591,1.43721,0.78653,0.66202,0.72329,0.38946,1.53594,1.01204,1.44223,0.000561055,0.000561055,0.000561055
52,8547.45,1.64493,1.05979,1.42071,0.75173,0.6502,0.7142,0.39157,1.52241,0.99091,1.43636,0.000550056,0.000550056,0.000550056
53,8661.49,1.63138,1.03283,1.42111,0.74345,0.66945,0.74174,0.40976,1.48412,0.96572,1.40372,0.000539057,0.000539057,0.000539057
54,8761.82,1.62751,1.06955,1.43259,0.77769,0.66939,0.7378,0.40914,1.49512,0.95585,1.4105,0.000528058,0.000528058,0.000528058
55,8863.31,1.5922,1.02344,1.42079,0.76756,0.63583,0.7159,0.39389,1.4819,0.95771,1.41034,0.000517059,0.000517059,0.000517059
56,8972.05,1.63366,1.05125,1.43485,0.83014,0.68139,0.75517,0.41533,1.48443,0.92639,1.40404,0.00050606,0.00050606,0.00050606
57,9075.68,1.61184,1.01377,1.4179,0.80351,0.67132,0.74599,0.39071,1.52796,0.96991,1.42659,0.000495062,0.000495062,0.000495062
58,9176.18,1.61975,1.0037,1.40109,0.81445,0.68962,0.75923,0.43131,1.46904,0.92868,1.39789,0.000484063,0.000484063,0.000484063
59,9277.84,1.6042,1.0235,1.42302,0.82004,0.69057,0.76641,0.43698,1.45379,0.90135,1.38786,0.000473064,0.000473064,0.000473064
60,9396.05,1.58115,0.987,1.38186,0.79718,0.68196,0.77387,0.43098,1.49375,0.90655,1.40757,0.000462065,0.000462065,0.000462065
61,9511.73,1.5975,1.01077,1.3966,0.78643,0.73207,0.78778,0.445,1.42767,0.89462,1.37161,0.000451066,0.000451066,0.000451066
62,9625.51,1.55829,0.97623,1.38777,0.82198,0.70958,0.7793,0.44718,1.42941,0.89183,1.36846,0.000440067,0.000440067,0.000440067
63,9740.77,1.58438,1.00057,1.38611,0.81787,0.66343,0.75979,0.42959,1.45682,0.95456,1.38726,0.000429068,0.000429068,0.000429068
64,9861.41,1.56546,0.99828,1.38096,0.8396,0.69236,0.78767,0.44443,1.45808,0.88924,1.3762,0.000418069,0.000418069,0.000418069
65,9971.05,1.58353,0.99597,1.38416,0.82929,0.71397,0.78228,0.4364,1.43396,0.86329,1.37277,0.00040707,0.00040707,0.00040707
66,10098.9,1.57322,0.98674,1.38373,0.85129,0.71243,0.79263,0.45043,1.48888,0.90005,1.38855,0.000396071,0.000396071,0.000396071
67,10201.1,1.57441,0.9886,1.37257,0.81281,0.70087,0.78676,0.43794,1.41972,0.88543,1.35312,0.000385073,0.000385073,0.000385073
68,10304.8,1.54128,0.96283,1.36211,0.86981,0.6999,0.79152,0.45163,1.425,0.8733,1.36717,0.000374074,0.000374074,0.000374074
69,10407.9,1.55429,0.97274,1.37458,0.86464,0.68923,0.79647,0.44765,1.44456,0.87525,1.37547,0.000363075,0.000363075,0.000363075
70,10512.1,1.55285,0.97394,1.36898,0.82498,0.71689,0.79871,0.45907,1.41133,0.8486,1.34883,0.000352076,0.000352076,0.000352076
71,10615.6,1.55893,0.96156,1.37053,0.83956,0.72372,0.80055,0.4578,1.40088,0.86642,1.34887,0.000341077,0.000341077,0.000341077
72,10932.2,1.53578,0.96915,1.36146,0.8685,0.71011,0.79896,0.44743,1.41734,0.8608,1.34984,0.000330078,0.000330078,0.000330078
73,11290.6,1.54727,0.95715,1.36715,0.84421,0.70945,0.81381,0.46659,1.39973,0.86146,1.34332,0.000319079,0.000319079,0.000319079
74,11655.5,1.51141,0.9468,1.36688,0.85769,0.72393,0.81215,0.46626,1.3887,0.83132,1.33618,0.00030808,0.00030808,0.00030808
75,12017.7,1.52818,0.95497,1.3586,0.84245,0.74399,0.81669,0.47451,1.38323,0.84128,1.33644,0.000297081,0.000297081,0.000297081
76,12359.5,1.53732,0.93196,1.35947,0.87777,0.72607,0.81471,0.47316,1.38777,0.82019,1.33153,0.000286083,0.000286083,0.000286083
77,12700.7,1.512,0.92153,1.34499,0.86471,0.74377,0.82849,0.4827,1.38497,0.82694,1.3246,0.000275084,0.000275084,0.000275084
78,13067.6,1.55332,0.9574,1.34958,0.86476,0.72804,0.82327,0.47315,1.37736,0.82822,1.3335,0.000264085,0.000264085,0.000264085
