epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.223,5.41653,4.39568,4.20313,0.00019,0.00213,0.0001,3e-05,5.36897,5.09571,3.90157,0.00040012,0.00040012,0.00040012
2,365.75,4.23668,3.00911,3.69754,0.00012,0.0012,6e-05,3e-05,5.42148,4.97453,3.97227,0.000806466,0.000806466,0.000806466
3,455.344,3.32959,2.50631,3.09448,0.00016,0.00107,8e-05,3e-05,5.38417,4.80635,3.9611,0.00120461,0.00120461,0.00120461
4,586.775,2.96744,2.25449,2.67074,0.72905,0.03665,0.02052,0.00572,3.52857,5.37596,2.86089,0.00138656,0.00138656,0.00138656
5,833.96,2.77326,2.05405,2.45493,0.70176,0.04865,0.02539,0.00923,3.28721,9.45427,2.83102,0.00137241,0.00137241,0.00137241
6,930.325,2.63155,2.01149,2.36305,0.46164,0.0901,0.06003,0.01432,3.33919,3.02476,2.62145,0.00135826,0.00135826,0.00135826
7,1018.44,2.52849,1.86614,2.2865,0.82889,0.14954,0.13927,0.05117,2.49297,2.84237,2.17746,0.00134412,0.00134412,0.00134412
8,1108.58,2.4197,1.78636,2.16116,0.82888,0.14088,0.12794,0.04674,2.65512,2.5598,2.20723,0.00132997,0.00132997,0.00132997
9,1197.02,2.34531,1.74111,2.0957,0.85437,0.15581,0.14851,0.05778,2.22527,2.17412,2.06007,0.00131582,0.00131582,0.00131582
10,1285.46,2.28579,1.75362,2.06577,0.88554,0.16607,0.18671,0.07165,2.48135,2.2776,2.11203,0.00130168,0.00130168,0.00130168
11,1378.26,2.22958,1.62503,1.98741,0.88857,0.18952,0.20477,0.08279,2.31052,2.06305,1.98994,0.00128753,0.00128753,0.00128753
12,1621.72,2.20363,1.63656,1.96571,0.91931,0.19526,0.22756,0.09562,2.23848,2.09649,1.95839,0.00127338,0.00127338,0.00127338
13,1864.79,2.11683,1.53672,1.88898,0.89916,0.18619,0.21845,0.10206,2.17843,1.96538,1.86013,0.00125923,0.00125923,0.00125923
14,2073.25,2.10297,1.51781,1.84013,0.87392,0.19792,0.20378,0.09293,2.06836,2.04052,1.80821,0.00124509,0.00124509,0.00124509
15,2333.28,2.04377,1.48349,1.82305,0.92476,0.19765,0.23679,0.1098,1.93243,2.07562,1.70489,0.00123094,0.00123094,0.00123094
16,2594.63,2.02616,1.47944,1.77496,0.93598,0.20085,0.25568,0.11719,2.15689,1.87923,1.78949,0.00121679,0.00121679,0.00121679
17,2854.98,1.98404,1.43215,1.76514,0.92396,0.20025,0.23854,0.11631,2.01845,2.57997,1.71618,0.00120265,0.00120265,0.00120265
18,3116.96,1.99681,1.41396,1.70884,0.92468,0.21658,0.25777,0.12231,1.95824,1.72394,1.68434,0.0011885,0.0011885,0.0011885
19,3375.36,1.98119,1.37487,1.7034,0.70313,0.23618,0.27166,0.11507,2.05715,1.69768,1.75724,0.00117435,0.00117435,0.00117435
20,3634.74,2.01056,1.44175,1.71268,0.93051,0.22013,0.27495,0.12654,1.97723,1.69315,1.67609,0.00116021,0.00116021,0.00116021
21,3895.16,1.92619,1.36771,1.66393,0.92617,0.21971,0.29236,0.14123,1.87672,1.55077,1.62924,0.00114606,0.00114606,0.00114606
22,4158.14,1.92903,1.34938,1.634,0.78908,0.23597,0.2951,0.14287,1.84845,1.59258,1.61059,0.00113191,0.00113191,0.00113191
23,4406.05,1.91206,1.34114,1.62006,0.9341,0.23688,0.3068,0.14319,1.8788,1.59651,1.60915,0.00111776,0.00111776,0.00111776
24,4664.46,1.88483,1.3145,1.62289,0.61905,0.27007,0.27154,0.12347,2.08742,2.11096,1.68177,0.00110362,0.00110362,0.00110362
25,4926.77,1.89723,1.31095,1.61553,0.70575,0.28698,0.31868,0.15533,1.80039,1.4985,1.55576,0.00108947,0.00108947,0.00108947
26,5186.46,1.8645,1.28723,1.59459,0.7114,0.32087,0.33414,0.1536,1.84865,1.52124,1.59678,0.00107532,0.00107532,0.00107532
27,5442.81,1.8991,1.26512,1.56851,0.68946,0.3082,0.33284,0.14896,1.86132,1.51465,1.59646,0.00106118,0.00106118,0.00106118
28,5686.37,1.83584,1.24523,1.5696,0.709,0.33296,0.34804,0.16788,1.79791,1.42926,1.53401,0.00104703,0.00104703,0.00104703
29,5947.12,1.82076,1.23069,1.55764,0.7023,0.33201,0.37576,0.17405,1.78477,1.42502,1.53559,0.00103288,0.00103288,0.00103288
30,6196.53,1.82808,1.25748,1.56425,0.73939,0.33303,0.37355,0.17309,1.83851,1.3944,1.56066,0.00101873,0.00101873,0.00101873
31,6440.96,1.80194,1.21347,1.53627,0.71896,0.32395,0.35232,0.16669,1.83769,1.57715,1.56972,0.00100459,0.00100459,0.00100459
32,6695.3,1.8186,1.22177,1.54923,0.75443,0.34778,0.38412,0.17827,1.75757,1.38864,1.5139,0.00099044,0.00099044,0.00099044
33,6949.51,1.84144,1.19748,1.53451,0.76105,0.34431,0.38313,0.18255,1.79428,1.37211,1.52527,0.000976293,0.000976293,0.000976293
34,7189.69,1.77332,1.20255,1.54002,0.73129,0.35897,0.39391,0.18655,1.76525,1.34599,1.51859,0.000962146,0.000962146,0.000962146
35,7411.12,1.79729,1.20518,1.50273,0.73405,0.3495,0.41824,0.18935,1.82426,1.40688,1.52513,0.000947999,0.000947999,0.000947999
36,7635.9,1.77664,1.19544,1.51712,0.75196,0.3862,0.43519,0.19966,1.7691,1.34333,1.49544,0.000933851,0.000933851,0.000933851
37,7879.84,1.74281,1.15893,1.48218,0.77087,0.34484,0.39854,0.17925,1.81148,1.49678,1.4942,0.000919704,0.000919704,0.000919704
38,8116.46,1.74687,1.15724,1.47522,0.76457,0.36058,0.43622,0.20552,1.70789,1.31104,1.46684,0.000905557,0.000905557,0.000905557
39,8367.99,1.76397,1.18447,1.50339,0.74439,0.36493,0.39461,0.18029,1.78043,1.34274,1.49222,0.00089141,0.00089141,0.00089141
40,8622.88,1.75942,1.14837,1.48207,0.75433,0.36965,0.41634,0.19983,1.72223,1.31055,1.45003,0.000877263,0.000877263,0.000877263
41,8882.53,1.7595,1.16204,1.50694,0.77703,0.3788,0.42732,0.20018,1.72429,1.23734,1.45503,0.000863116,0.000863116,0.000863116
