epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9142.67,1.71543,1.13643,1.46012,0.78065,0.38647,0.43698,0.20562,1.70247,1.42073,1.44706,0.000848969,0.000848969,0.000848969
43,9397.75,1.73103,1.11059,1.45132,0.78162,0.397,0.48365,0.21575,1.77379,1.23113,1.45961,0.000834822,0.000834822,0.000834822
44,9655.18,1.72167,1.13381,1.44915,0.79672,0.36774,0.45811,0.21179,1.71063,1.34926,1.44435,0.000820675,0.000820675,0.000820675
45,9905.94,1.71643,1.09449,1.43475,0.80755,0.38826,0.47526,0.22013,1.74064,1.20631,1.44228,0.000806528,0.000806528,0.000806528
46,10167,1.68161,1.07693,1.43077,0.77571,0.41056,0.46464,0.22441,1.69128,1.22774,1.41645,0.00079238,0.00079238,0.00079238
47,10359.7,1.69671,1.09919,1.45984,0.77636,0.40021,0.49643,0.2278,1.68673,1.18312,1.43117,0.000778233,0.000778233,0.000778233
48,10568.3,1.68656,1.09292,1.42433,0.79779,0.38465,0.46565,0.21577,1.70964,1.18585,1.43253,0.000764086,0.000764086,0.000764086
49,10819.9,1.69351,1.09031,1.42829,0.76741,0.42176,0.48902,0.22691,1.68852,1.25278,1.44337,0.000749939,0.000749939,0.000749939
50,10952,1.69455,1.07221,1.43256,0.78367,0.44104,0.50127,0.22549,1.70534,1.19254,1.45563,0.000735792,0.000735792,0.000735792
51,11093.9,1.65058,1.07644,1.40389,0.81083,0.44001,0.53041,0.24334,1.63787,1.31813,1.40642,0.000721645,0.000721645,0.000721645
52,11177.8,1.69847,1.12785,1.44577,0.7864,0.39753,0.49796,0.23347,1.62333,1.16641,1.40112,0.000707498,0.000707498,0.000707498
53,11265,1.65099,1.05266,1.41014,0.79986,0.43392,0.49833,0.24387,1.66915,1.38374,1.39933,0.000693351,0.000693351,0.000693351
54,11354.1,1.6668,1.04889,1.41046,0.81961,0.45131,0.56658,0.26414,1.61879,1.15665,1.37991,0.000679204,0.000679204,0.000679204
55,11442.3,1.66767,1.06333,1.41768,0.838,0.42545,0.53374,0.25466,1.64662,1.15572,1.3927,0.000665057,0.000665057,0.000665057
56,11529.8,1.66993,1.02994,1.40595,0.82832,0.45038,0.57144,0.2582,1.66242,1.11011,1.39421,0.000650909,0.000650909,0.000650909
57,11616,1.61459,1.00653,1.38275,0.83661,0.447,0.55196,0.24864,1.66138,1.10145,1.3904,0.000636762,0.000636762,0.000636762
58,11702.2,1.60802,1.00104,1.37251,0.82874,0.45986,0.54327,0.25664,1.62724,1.0974,1.3864,0.000622615,0.000622615,0.000622615
59,11788.2,1.63023,1.04486,1.39148,0.83119,0.44782,0.55487,0.2607,1.59332,1.13264,1.3615,0.000608468,0.000608468,0.000608468
60,11875.7,1.6208,1.00766,1.35555,0.83475,0.47281,0.59624,0.27997,1.5933,1.06254,1.3664,0.000594321,0.000594321,0.000594321
61,11962.1,1.63116,1.01812,1.39704,0.8076,0.45305,0.55952,0.25715,1.63269,1.07783,1.38075,0.000580174,0.000580174,0.000580174
62,12055.5,1.6041,0.99254,1.35955,0.81992,0.48142,0.55176,0.25996,1.57949,1.21471,1.36588,0.000566027,0.000566027,0.000566027
63,12152.2,1.61784,1.01605,1.37508,0.83191,0.47068,0.60586,0.27954,1.5909,1.0683,1.34567,0.00055188,0.00055188,0.00055188
64,12249.4,1.63414,0.99618,1.36739,0.84356,0.48581,0.60119,0.28019,1.57532,1.02405,1.35217,0.000537733,0.000537733,0.000537733
65,12346.6,1.58298,0.9754,1.35075,0.87383,0.45513,0.62504,0.28722,1.56325,1.05611,1.33685,0.000523586,0.000523586,0.000523586
66,12444,1.65064,1.00538,1.3827,0.81914,0.45047,0.53512,0.2422,1.62258,1.13671,1.35592,0.000509438,0.000509438,0.000509438
67,12545.6,1.62298,0.99845,1.36922,0.85433,0.48352,0.63688,0.29295,1.56477,1.00807,1.34611,0.000495291,0.000495291,0.000495291
68,12647.7,1.54412,0.94804,1.33182,0.84555,0.48174,0.5927,0.27643,1.5972,1.0332,1.34729,0.000481144,0.000481144,0.000481144
69,12745.4,1.5674,0.9743,1.35825,0.86714,0.47757,0.62364,0.29085,1.56621,1.04775,1.33923,0.000466997,0.000466997,0.000466997
70,12843.5,1.5971,0.99251,1.36776,0.8569,0.44643,0.55165,0.25301,1.62712,1.08796,1.36833,0.00045285,0.00045285,0.00045285
71,12941.2,1.57845,0.9678,1.34759,0.8695,0.48683,0.59953,0.27621,1.54762,1.02301,1.32794,0.000438703,0.000438703,0.000438703
72,13036.7,1.57605,0.95616,1.32862,0.54476,0.64948,0.64586,0.29748,1.57494,1.00219,1.33302,0.000424556,0.000424556,0.000424556
73,13135.1,1.55886,0.96604,1.34959,0.87552,0.492,0.63413,0.29817,1.55339,1.02965,1.32689,0.000410409,0.000410409,0.000410409
74,13231.5,1.54913,0.96499,1.36287,0.6017,0.61949,0.64133,0.29429,1.56482,0.94974,1.32682,0.000396262,0.000396262,0.000396262
75,13328.4,1.5455,0.95175,1.33295,0.86361,0.49136,0.646,0.301,1.54762,0.98992,1.31592,0.000382115,0.000382115,0.000382115
76,13425.4,1.55402,0.93626,1.34805,0.68707,0.62542,0.66521,0.30329,1.52989,0.97206,1.32063,0.000367967,0.000367967,0.000367967
77,13523.2,1.55038,0.95256,1.32188,0.69954,0.62742,0.6715,0.31566,1.52609,0.94693,1.31153,0.00035382,0.00035382,0.00035382
78,13618.3,1.58333,0.93429,1.33137,0.55224,0.64878,0.65374,0.3111,1.51292,0.99952,1.30573,0.000339673,0.000339673,0.000339673
79,13717,1.55259,0.94139,1.34053,0.61512,0.63624,0.68938,0.31521,1.55208,0.93405,1.3136,0.000325526,0.000325526,0.000325526
80,13814.7,1.56878,0.95743,1.33708,0.87739,0.50257,0.65419,0.32274,1.51739,1.00366,1.30673,0.000311379,0.000311379,0.000311379
81,13912.2,1.53039,0.9488,1.3138,0.67349,0.60432,0.64411,0.3051,1.57086,0.93437,1.31595,0.000297232,0.000297232,0.000297232
82,14009.6,1.53994,0.92216,1.31641,0.87663,0.51567,0.68197,0.32149,1.54639,0.95134,1.30285,0.000283085,0.000283085,0.000283085
83,14101.9,1.54295,0.92391,1.32792,0.5533,0.67916,0.66825,0.3169,1.50592,0.95413,1.28822,0.000268938,0.000268938,0.000268938
84,14215.4,1.49648,0.90448,1.30199,0.64845,0.63643,0.67418,0.32417,1.50501,0.9276,1.29369,0.000254791,0.000254791,0.000254791
85,14386.7,1.54074,0.92677,1.32113,0.75048,0.60996,0.66832,0.31624,1.51556,0.95021,1.29625,0.000240644,0.000240644,0.000240644
86,14519.9,1.50966,0.91825,1.32334,0.62496,0.66671,0.67651,0.32572,1.49948,0.89911,1.2861,0.000226497,0.000226497,0.000226497
87,14643.6,1.52272,0.90182,1.2966,0.58429,0.67622,0.66471,0.32304,1.49337,0.92125,1.28095,0.000212349,0.000212349,0.000212349
88,14775.6,1.50645,0.90375,1.3093,0.64256,0.65882,0.65783,0.31455,1.50457,0.92833,1.28867,0.000198202,0.000198202,0.000198202
89,14936.8,1.52088,0.90903,1.3152,0.61943,0.65078,0.6893,0.33375,1.47807,0.86808,1.28018,0.000184055,0.000184055,0.000184055
90,15061.3,1.55677,0.91278,1.31687,0.58194,0.67089,0.66924,0.32484,1.52277,0.8983,1.29184,0.000169908,0.000169908,0.000169908
91,15188.2,1.51228,0.93689,1.38316,0.66279,0.67754,0.68061,0.3246,1.50774,0.92424,1.29032,0.000155761,0.000155761,0.000155761
92,15310.4,1.46906,0.87661,1.336,0.59066,0.67391,0.67768,0.3197,1.50088,0.91235,1.28704,0.000141614,0.000141614,0.000141614
93,15437.8,1.46071,0.85338,1.31588,0.62849,0.67914,0.67703,0.3301,1.48227,0.89289,1.2866,0.000127467,0.000127467,0.000127467
94,15556.1,1.4707,0.86031,1.31534,0.62368,0.65231,0.67113,0.33532,1.46697,0.89478,1.27106,0.00011332,0.00011332,0.00011332
95,15673.3,1.51463,0.89012,1.34786,0.65057,0.68237,0.6882,0.34217,1.47421,0.89163,1.27754,9.91726e-05,9.91726e-05,9.91726e-05
96,15788.2,1.447,0.85072,1.31194,0.65233,0.68581,0.6823,0.33748,1.48461,0.88841,1.27252,8.50255e-05,8.50255e-05,8.50255e-05
97,15901.1,1.45219,0.85216,1.32794,0.67974,0.66207,0.68975,0.34522,1.49289,0.89206,1.27306,7.08784e-05,7.08784e-05,7.08784e-05
98,16013.9,1.44683,0.84878,1.3183,0.69163,0.66936,0.70035,0.35093,1.46626,0.87484,1.26621,5.67313e-05,5.67313e-05,5.67313e-05
99,16131.1,1.44462,0.83647,1.30216,0.71704,0.65502,0.70043,0.35317,1.45892,0.8693,1.26305,4.25842e-05,4.25842e-05,4.25842e-05
100,16243.8,1.45659,0.85417,1.31378,0.68721,0.67594,0.69663,0.34616,1.45759,0.86409,1.26333,2.84371e-05,2.84371e-05,2.84371e-05
